name	ui	pharmacological_action_name	pharmacological_action_ui
Glutaral	D005976	Cross-Linking Reagents	D003432
Glutaral	D005976	Disinfectants	D004202
Glutaral	D005976	Fixatives	D005404
Glutethimide	D005984	Hypnotics and Sedatives	D006993
Glycerol	D005990	Cryoprotective Agents	D003451
Glycerol	D005990	Solvents	D012997
Nitroglycerin	D005996	Vasodilator Agents	D014665
Nitroglycerin	D005996	Explosive Agents	D053834
Glycine	D005998	Glycine Agents	D018684
Glycochenodeoxycholic Acid	D005999	Detergents	D003902
Glycocholic Acid	D006000	Cholagogues and Choleretics	D002756
Glycocholic Acid	D006000	Detergents	D003902
Glycodeoxycholic Acid	D006002	Detergents	D003902
Glycopyrrolate	D006024	Adjuvants, Anesthesia	D000759
Glycopyrrolate	D006024	Muscarinic Antagonists	D018727
Glycyrrhetinic Acid	D006034	Anti-Inflammatory Agents	D000893
Gold Colloid, Radioactive	D006048	Antineoplastic Agents	D000970
Gold Colloid, Radioactive	D006048	Radiopharmaceuticals	D019275
Aurothioglucose	D006051	Antirheumatic Agents	D018501
Gold Sodium Thiomalate	D006052	Antirheumatic Agents	D018501
Chorionic Gonadotropin	D006063	Reproductive Control Agents	D012102
Gonadotropins, Pituitary	D006065	Fertility Agents, Female	D005300
Gonadotropins, Pituitary	D006065	Fertility Agents, Male	D005303
Gossypol	D006072	Contraceptive Agents, Male	D003272
Gramicidin	D006096	Anti-Infective Agents, Local	D000891
Gramicidin	D006096	Anti-Bacterial Agents	D000900
Griseofulvin	D006118	Antifungal Agents	D000935
Guaiac	D006138	Indicators and Reagents	D007202
Guaifenesin	D006140	Expectorants	D005100
Guanabenz	D006143	Antihypertensive Agents	D000959
Guanabenz	D006143	Adrenergic alpha-2 Receptor Agonists	D058647
Guanazole	D006144	Antineoplastic Agents	D000970
Guanethidine	D006145	Antihypertensive Agents	D000959
Guanethidine	D006145	Sympatholytics	D013565
Guanethidine	D006145	Adrenergic Agents	D018663
Halcinonide	D006206	Anti-Inflammatory Agents	D000893
Halofenate	D006218	Hypolipidemic Agents	D000960
Halofenate	D006218	Uricosuric Agents	D014528
Haloperidol	D006220	Antiemetics	D000932
Haloperidol	D006220	Antipsychotic Agents	D014150
Haloperidol	D006220	Dopamine Antagonists	D018492
Haloperidol	D006220	Anti-Dyskinesia Agents	D018726
Halothane	D006221	Anesthetics, Inhalation	D018685
Harmaline	D006246	Central Nervous System Stimulants	D000697
Harmaline	D006246	Monoamine Oxidase Inhibitors	D008996
Harmine	D006247	Hallucinogens	D006213
Harmine	D006247	Monoamine Oxidase Inhibitors	D008996
Harringtonines	D006248	Antineoplastic Agents, Phytogenic	D000972
Hematoporphyrins	D006415	Photosensitizing Agents	D017319
Hematoxylin	D006416	Coloring Agents	D004396
Hemicholinium 3	D006426	Neurotransmitter Uptake Inhibitors	D014179
Hemicholinium 3	D006426	Cholinergic Agents	D018678
Hemolysin Proteins	D006460	Hemolytic Agents	D053878
Hempa	D006492	Chemosterilants	D002629
Heparin	D006493	Anticoagulants	D000925
Heparin	D006493	Fibrinolytic Agents	D005343
Heparin, Low-Molecular-Weight	D006495	Anticoagulants	D000925
Heparin, Low-Molecular-Weight	D006495	Fibrinolytic Agents	D005343
Heparinoids	D006496	Anti-Inflammatory Agents	D000893
Heparinoids	D006496	Anticoagulants	D000925
Hepatitis Antibodies	D006508	Immunologic Factors	D007155
Hepatitis B Antibodies	D006510	Immunologic Factors	D007155
HEPES	D006531	Buffers	D002021
Heptachlor	D006533	Insecticides	D007306
Heptachlor	D006533	Soil Pollutants	D012989
Heptachlor Epoxide	D006534	Insecticides	D007306
Hexachlorobenzene	D006581	Fungicides, Industrial	D005659
Hexachlorophene	D006582	Anti-Infective Agents, Local	D000891
Hexadimethrine Bromide	D006583	Heparin Antagonists	D006494
Hexamethonium Compounds	D006584	Antihypertensive Agents	D000959
Hexamethonium Compounds	D006584	Ganglionic Blockers	D005730
Altretamine	D006585	Antineoplastic Agents, Alkylating	D018906
Hexestrol	D006589	Estrogens, Non-Steroidal	D004968
Hexestrol	D006589	Antineoplastic Agents, Hormonal	D018931
Hexetidine	D006590	Anti-Infective Agents, Local	D000891
Hexetidine	D006590	Antifungal Agents	D000935
Hexobarbital	D006591	Hypnotics and Sedatives	D006993
Hexobarbital	D006591	GABA Modulators	D018757
Hexobendine	D006592	Vasodilator Agents	D014665
Hexoprenaline	D006594	Bronchodilator Agents	D001993
Hexoprenaline	D006594	Tocolytic Agents	D015149
Hexoprenaline	D006594	Adrenergic beta-2 Receptor Agonists	D058666
Hexylresorcinol	D006604	Anthelmintics	D000871
Hirudins	D006629	Antithrombins	D000991
Hirudins	D006629	Fibrinolytic Agents	D005343
Histamine	D006632	Histamine Agonists	D017442
Bisbenzimidazole	D006690	Filaricides	D005369
Bisbenzimidazole	D006690	Fluorescent Dyes	D005456
Holothurin	D006697	Poisons	D011042
Holothurin	D006697	Cholinergic Agents	D018678
Humic Substances	D006812	Chelating Agents	D002614
Hyaluronic Acid	D006820	Adjuvants, Immunologic	D000276
Hyaluronic Acid	D006820	Viscosupplements	D055675
Hycanthone	D006826	Schistosomicides	D012556
Hydralazine	D006830	Antihypertensive Agents	D000959
Hydralazine	D006830	Vasodilator Agents	D014665
Hydrochlorothiazide	D006852	Antihypertensive Agents	D000959
Hydrochlorothiazide	D006852	Diuretics	D004232
Hydrochlorothiazide	D006852	Sodium Chloride Symporter Inhibitors	D049993
Hydrocodone	D006853	Analgesics, Opioid	D000701
Hydrocodone	D006853	Antitussive Agents	D000996
Hydrocodone	D006853	Narcotics	D009294
Hydrocortisone	D006854	Anti-Inflammatory Agents	D000893
Hydrogen Cyanide	D006856	Chemical Warfare Agents	D002619
Hydroflumethiazide	D006857	Antihypertensive Agents	D000959
Hydroflumethiazide	D006857	Diuretics	D004232
Hydroflumethiazide	D006857	Sodium Chloride Symporter Inhibitors	D049993
Hydrogen Peroxide	D006861	Anti-Infective Agents, Local	D000891
Hydrogen Peroxide	D006861	Oxidants	D016877
Hydrogen Sulfide	D006862	Air Pollutants	D000393
Hydrogen Sulfide	D006862	Gasotransmitters	D064426
Hydroxocobalamin	D006879	Hematinics	D006397
Hydroxocobalamin	D006879	Vitamin B Complex	D014803
Hydroxychloroquine	D006886	Antimalarials	D000962
Hydroxychloroquine	D006886	Enzyme Inhibitors	D004791
Hydroxychloroquine	D006886	Antirheumatic Agents	D018501
Hydroxycholecalciferols	D006887	Vitamins	D014815
Hydroxycholecalciferols	D006887	Bone Density Conservation Agents	D050071
Hydroxyethyl Starch Derivatives	D006895	Plasma Substitutes	D010952
Hydroxymercuribenzoates	D006902	Enzyme Inhibitors	D004791
Hydroxymercuribenzoates	D006902	Sulfhydryl Reagents	D013439
Hydroxyphenylazouracil	D006906	Nucleic Acid Synthesis Inhibitors	D019384
5-Hydroxytryptophan	D006916	Antidepressive Agents, Second-Generation	D018687
Hydroxyurea	D006918	Antineoplastic Agents	D000970
Hydroxyurea	D006918	Antisickling Agents	D000986
Hydroxyurea	D006918	Enzyme Inhibitors	D004791
Hydroxyurea	D006918	Nucleic Acid Synthesis Inhibitors	D019384
Hydroxyzine	D006919	Antipruritics	D000982
Hydroxyzine	D006919	Histamine H1 Antagonists	D006634
Hygromycin B	D006921	Anthelmintics	D000871
Hygromycin B	D006921	Anti-Bacterial Agents	D000900
Hymecromone	D006923	Indicators and Reagents	D007202
Hypochlorous Acid	D006997	Oxidants	D016877
Hypoglycins	D007005	Poisons	D011042
Ibogaine	D007050	Hallucinogens	D006213
Ibogaine	D007050	Excitatory Amino Acid Antagonists	D018691
Ibotenic Acid	D007051	Excitatory Amino Acid Agonists	D018690
Ibuprofen	D007052	Anti-Inflammatory Agents, Non-Steroidal	D000894
Ibuprofen	D007052	Cyclooxygenase Inhibitors	D016861
Ibuprofen	D007052	Analgesics, Non-Narcotic	D018712
Idoxuridine	D007065	Antiviral Agents	D000998
Idoxuridine	D007065	Nucleic Acid Synthesis Inhibitors	D019384
Ifosfamide	D007069	Antineoplastic Agents, Alkylating	D018906
Immunoglobulin A	D007070	Immunologic Factors	D007155
Immunoglobulin A, Secretory	D007071	Immunologic Factors	D007155
Immunoglobulin D	D007072	Immunologic Factors	D007155
Immunoglobulin E	D007073	Immunologic Factors	D007155
Immunoglobulin G	D007074	Immunologic Factors	D007155
Immunoglobulin M	D007075	Immunologic Factors	D007155
Imidocarb	D007095	Antiprotozoal Agents	D000981
Imidoesters	D007096	Indicators and Reagents	D007202
Imipramine	D007099	Antidepressive Agents, Tricyclic	D000929
Imipramine	D007099	Adrenergic Uptake Inhibitors	D018759
Immune Sera	D007106	Immunologic Factors	D007155
Immunoglobulin Allotypes	D007126	Immunologic Factors	D007155
Immunoglobulin Constant Regions	D007127	Immunologic Factors	D007155
Immunoglobulin Fragments	D007128	Immunologic Factors	D007155
Immunoglobulin Gm Allotypes	D007129	Immunologic Factors	D007155
Immunoglobulin Idiotypes	D007130	Immunologic Factors	D007155
Immunoglobulin Km Allotypes	D007131	Immunologic Factors	D007155
Immunoglobulin Isotypes	D007132	Immunologic Factors	D007155
Immunoglobulin Joining Region	D007133	Immunologic Factors	D007155
Immunoglobulin Variable Region	D007135	Immunologic Factors	D007155
Immunoglobulins	D007136	Immunologic Factors	D007155
Immunoglobulin alpha-Chains	D007137	Immunologic Factors	D007155
Immunoglobulin delta-Chains	D007138	Immunologic Factors	D007155
Immunoglobulin epsilon-Chains	D007139	Immunologic Factors	D007155
Immunoglobulin Fab Fragments	D007140	Immunologic Factors	D007155
Immunoglobulin Fc Fragments	D007141	Immunologic Factors	D007155
Immunoglobulin gamma-Chains	D007142	Immunologic Factors	D007155
Immunoglobulin Heavy Chains	D007143	Immunologic Factors	D007155
Immunoglobulin J-Chains	D007144	Immunologic Factors	D007155
Immunoglobulin kappa-Chains	D007145	Immunologic Factors	D007155
Immunoglobulin lambda-Chains	D007146	Immunologic Factors	D007155
Immunoglobulin Light Chains	D007147	Immunologic Factors	D007155
Immunoglobulin mu-Chains	D007148	Immunologic Factors	D007155
Indapamide	D007190	Antihypertensive Agents	D000959
Indapamide	D007190	Diuretics	D004232
Indapamide	D007190	Sodium Chloride Symporter Inhibitors	D049993
Indigo Carmine	D007203	Coloring Agents	D004396
Indocyanine Green	D007208	Coloring Agents	D004396
Indoleacetic Acids	D007210	Plant Growth Regulators	D010937
Indomethacin	D007213	Anti-Inflammatory Agents, Non-Steroidal	D000894
Indomethacin	D007213	Cardiovascular Agents	D002317
Indomethacin	D007213	Gout Suppressants	D006074
Indomethacin	D007213	Tocolytic Agents	D015149
Indomethacin	D007213	Cyclooxygenase Inhibitors	D016861
Indoprofen	D007216	Cyclooxygenase Inhibitors	D016861
Indoramin	D007217	Antihypertensive Agents	D000959
Indoramin	D007217	Adrenergic alpha-1 Receptor Antagonists	D058668
Inositol	D007294	Vitamin B Complex	D014803
Insulin	D007328	Hypoglycemic Agents	D007004
Insulin Antibodies	D007330	Immunologic Factors	D007155
Insulin, Isophane	D007336	Hypoglycemic Agents	D007004
Interferon Type I	D007370	Antineoplastic Agents	D000970
Interferon Type I	D007370	Antiviral Agents	D000998
Interferon-gamma	D007371	Antiviral Agents	D000998
Interferons	D007372	Antineoplastic Agents	D000970
Interferons	D007372	Antiviral Agents	D000998
Interleukin-2	D007376	Antineoplastic Agents	D000970
Interleukin-2	D007376	Analgesics, Non-Narcotic	D018712
Iodamide	D007451	Contrast Media	D003287
Iodine	D007455	Anti-Infective Agents, Local	D000891
Iodine	D007455	Trace Elements	D014131
Iodipamide	D007458	Contrast Media	D003287
Iodized Oil	D007459	Contrast Media	D003287
Iodoacetamide	D007460	Alkylating Agents	D000477
Iodoacetamide	D007460	Enzyme Inhibitors	D004791
Iodoacetates	D007461	Alkylating Agents	D000477
Iodoacetates	D007461	Enzyme Inhibitors	D004791
Iodohippuric Acid	D007465	Contrast Media	D003287
Iodophors	D007466	Surface-Active Agents	D013501
Iodopyracet	D007468	Contrast Media	D003287
Ioglycamic Acid	D007471	Contrast Media	D003287
Iohexol	D007472	Contrast Media	D003287
Iopamidol	D007479	Contrast Media	D003287
Iopanoic Acid	D007480	Contrast Media	D003287
Iophendylate	D007481	Contrast Media	D003287
Iothalamate Meglumine	D007482	Contrast Media	D003287
Iothalamic Acid	D007483	Contrast Media	D003287
Ioxaglic Acid	D007485	Contrast Media	D003287
Ipecac	D007486	Emetics	D004639
Ipodate	D007487	Contrast Media	D003287
Iprindole	D007488	Antidepressive Agents, Tricyclic	D000929
Iproniazid	D007490	Antidepressive Agents	D000928
Iproniazid	D007490	Monoamine Oxidase Inhibitors	D008996
Ipronidazole	D007491	Antiprotozoal Agents	D000981
Iron	D007501	Trace Elements	D014131
Iron-Dextran Complex	D007505	Hematinics	D006397
Isoantibodies	D007518	Immunologic Factors	D007155
Isocarboxazid	D007520	Antidepressive Agents	D000928
Isocarboxazid	D007520	Monoamine Oxidase Inhibitors	D008996
Isoetharine	D007528	Bronchodilator Agents	D001993
Isoetharine	D007528	Adrenergic beta-2 Receptor Agonists	D058666
Isoflurane	D007530	Anesthetics, Inhalation	D018685
Isoflurophate	D007531	Cholinesterase Inhibitors	D002800
Isoflurophate	D007531	Protease Inhibitors	D011480
Isoniazid	D007538	Antitubercular Agents	D000995
Isoniazid	D007538	Fatty Acid Synthesis Inhibitors	D054872
Isopentenyladenosine	D007541	Plant Growth Regulators	D010937
Inosine Pranobex	D007542	Adjuvants, Immunologic	D000276
Inosine Pranobex	D007542	Antiviral Agents	D000998
Isoproterenol	D007545	Adrenergic beta-Agonists	D000318
Isoproterenol	D007545	Bronchodilator Agents	D001993
Isoproterenol	D007545	Cardiotonic Agents	D002316
Isoproterenol	D007545	Sympathomimetics	D013566
Isosorbide	D007547	Diuretics, Osmotic	D004234
Isosorbide Dinitrate	D007548	Vasodilator Agents	D014665
Isosorbide Dinitrate	D007548	Nitric Oxide Donors	D020030
Isoxsuprine	D007556	Adrenergic beta-Agonists	D000318
Isoxsuprine	D007556	Sympathomimetics	D013566
Isoxsuprine	D007556	Vasodilator Agents	D014665
Isoxsuprine	D007556	Tocolytic Agents	D015149
Ivermectin	D007559	Antiparasitic Agents	D000977
Ivermectin	D007559	Insecticides	D007306
Kainic Acid	D007608	Antinematodal Agents	D000969
Kainic Acid	D007608	Excitatory Amino Acid Agonists	D018690
Kallidin	D007609	Antihypertensive Agents	D000959
Kallidin	D007609	Vasodilator Agents	D014665
Kallikreins	D007610	Coagulants	D003029
Kallikreins	D007610	Fertility Agents, Male	D005303
Aprotinin	D007611	Hemostatics	D006490
Aprotinin	D007611	Trypsin Inhibitors	D014361
Aprotinin	D007611	Serine Proteinase Inhibitors	D015842
Kanamycin	D007612	Anti-Bacterial Agents	D000900
Kanamycin	D007612	Protein Synthesis Inhibitors	D011500
Kaolin	D007616	Antidiarrheals	D000930
Karaya Gum	D007618	Tissue Adhesives	D014014
Chlordecone	D007631	Insecticides	D007306
Ketamine	D007649	Analgesics	D000700
Ketamine	D007649	Anesthetics, Dissociative	D000778
Ketamine	D007649	Excitatory Amino Acid Antagonists	D018691
Ketanserin	D007650	Antihypertensive Agents	D000959
Ketanserin	D007650	Platelet Aggregation Inhibitors	D010975
Ketanserin	D007650	Serotonin Antagonists	D012702
Ketoconazole	D007654	Antifungal Agents	D000935
Ketoconazole	D007654	14-alpha Demethylase Inhibitors	D058888
Ketoconazole	D007654	Cytochrome P-450 CYP3A Inhibitors	D065692
Ketoprofen	D007660	Anti-Inflammatory Agents, Non-Steroidal	D000894
Ketoprofen	D007660	Cyclooxygenase Inhibitors	D016861
Ketotifen	D007665	Antipruritics	D000982
Ketotifen	D007665	Histamine H1 Antagonists	D006634
Ketotifen	D007665	Anti-Allergic Agents	D018926
Khellin	D007666	Bronchodilator Agents	D001993
Khellin	D007666	Vasodilator Agents	D014665
Kinetin	D007701	Plant Growth Regulators	D010937
Kininogens	D007704	Cysteine Proteinase Inhibitors	D015853
Kynurenic Acid	D007736	Excitatory Amino Acid Antagonists	D018691
Labetalol	D007741	Adrenergic beta-Antagonists	D000319
Labetalol	D007741	Antihypertensive Agents	D000959
Labetalol	D007741	Sympathomimetics	D013566
Labetalol	D007741	Adrenergic alpha-1 Receptor Antagonists	D058668
Lactams	D007769	Anti-Bacterial Agents	D000900
Lactoferrin	D007781	Anti-Infective Agents	D000890
Lactose	D007785	Sweetening Agents	D013549
Lactulose	D007792	Gastrointestinal Agents	D005765
Lanolin	D007809	Cosmetics	D003358
Lasalocid	D007832	Anti-Bacterial Agents	D000900
Lasalocid	D007832	Coccidiostats	D003049
Lasalocid	D007832	Ionophores	D007476
Lentinan	D007912	Adjuvants, Immunologic	D000276
Lentinan	D007912	Antineoplastic Agents	D000970
Leucomycins	D007933	Anti-Bacterial Agents	D000900
Leukocidins	D007956	Cytotoxins	D003603
Leupeptins	D007976	Protease Inhibitors	D011480
Levallorphan	D007977	Narcotic Antagonists	D009292
Levamisole	D007978	Adjuvants, Immunologic	D000276
Levamisole	D007978	Antinematodal Agents	D000969
Levamisole	D007978	Antirheumatic Agents	D018501
Levodopa	D007980	Antiparkinson Agents	D000978
Levodopa	D007980	Dopamine Agents	D015259
Levorphanol	D007981	Analgesics, Opioid	D000701
Levorphanol	D007981	Narcotics	D009294
Lidocaine	D008012	Anesthetics, Local	D000779
Lidocaine	D008012	Anti-Arrhythmia Agents	D000889
Lidocaine	D008012	Voltage-Gated Sodium Channel Blockers	D061567
Lidoflazine	D008013	Calcium Channel Blockers	D002121
Lidoflazine	D008013	Vasodilator Agents	D014665
Lincomycin	D008034	Anti-Bacterial Agents	D000900
Lincomycin	D008034	Protein Synthesis Inhibitors	D011500
Linuron	D008044	Herbicides	D006540
Thioctic Acid	D008063	Antioxidants	D000975
Thioctic Acid	D008063	Vitamin B Complex	D014803
Lissamine Green Dyes	D008086	Coloring Agents	D004396
Lisuride	D008090	Antiparkinson Agents	D000978
Lisuride	D008090	Serotonin Receptor Agonists	D017366
Lisuride	D008090	Dopamine Agonists	D018491
Lithocholic Acid	D008095	Detergents	D003902
Liver Extracts	D008110	Hematinics	D006397
Lobeline	D008120	Ganglionic Stimulants	D005731
Lobeline	D008120	Nicotinic Agonists	D018722
Lobeline	D008120	Respiratory System Agents	D019141
Lofepramine	D008127	Antidepressive Agents, Tricyclic	D000929
Lomustine	D008130	Antineoplastic Agents, Alkylating	D018906
Long-Acting Thyroid Stimulator	D008135	Immunologic Factors	D007155
Loperamide	D008139	Antidiarrheals	D000930
Lorazepam	D008140	Anticonvulsants	D000927
Lorazepam	D008140	Antiemetics	D000932
Lorazepam	D008140	Hypnotics and Sedatives	D006993
Lorazepam	D008140	Anti-Anxiety Agents	D014151
Lorazepam	D008140	GABA Modulators	D018757
Lovastatin	D008148	Anticholesteremic Agents	D000924
Lovastatin	D008148	Hydroxymethylglutaryl-CoA Reductase Inhibitors	D019161
Loxapine	D008152	Antipsychotic Agents	D014150
Loxapine	D008152	Dopamine Antagonists	D018492
Lucanthone	D008154	Schistosomicides	D012556
Lucensomycin	D008155	Anti-Bacterial Agents	D000900
Lucensomycin	D008155	Antifungal Agents	D000935
Luciferases	D008156	Luminescent Agents	D049408
Luminol	D008165	Indicators and Reagents	D007202
Luminol	D008165	Luminescent Agents	D049408
Lye	D008191	Caustics	D002424
Lymecycline	D008194	Anti-Bacterial Agents	D000900
Lynestrenol	D008234	Contraceptives, Oral, Synthetic	D003280
Lyngbya Toxins	D008235	Poisons	D011042
Lypressin	D008236	Hemostatics	D006490
Lypressin	D008236	Vasoconstrictor Agents	D014662
Lypressin	D008236	Antidiuretic Agents	D050034
Lysergic Acid Diethylamide	D008238	Hallucinogens	D006213
Lysergic Acid Diethylamide	D008238	Serotonin Antagonists	D012702
Lysergic Acid Diethylamide	D008238	Serotonin Receptor Agonists	D017366
Lysostaphin	D008248	Anti-Infective Agents, Local	D000891
Mafenide	D008272	Anti-Infective Agents, Local	D000891
Magnesium Hydroxide	D008276	Antacids	D000863
Magnesium Oxide	D008277	Antacids	D000863
Magnesium Sulfate	D008278	Analgesics	D000700
Magnesium Sulfate	D008278	Anesthetics	D000777
Magnesium Sulfate	D008278	Anti-Arrhythmia Agents	D000889
Magnesium Sulfate	D008278	Anticonvulsants	D000927
Magnesium Sulfate	D008278	Calcium Channel Blockers	D002121
Magnesium Sulfate	D008278	Tocolytic Agents	D015149
Malathion	D008294	Cholinesterase Inhibitors	D002800
Malathion	D008294	Insecticides	D007306
Maleic Hydrazide	D008300	Herbicides	D006540
Maleic Hydrazide	D008300	Plant Growth Regulators	D010937
Maltose	D008320	Sweetening Agents	D013549
Mandelic Acids	D008333	Anti-Infective Agents, Urinary	D000892
Maneb	D008344	Fungicides, Industrial	D005659
Manganese	D008345	Trace Elements	D014131
Mannitol	D008353	Diuretics, Osmotic	D004234
Mannitol	D008353	Sweetening Agents	D013549
Mannomustine	D008357	Antineoplastic Agents, Alkylating	D018906
